Manufacturer,Engine size,Fuel type,Mileage,Price
1,2.0,2,75843,14661
1,1.0,2,39855,15346
4,1.4,2,58793,16569
1,1.0,2,60872,11782
1,1.4,2,25890,16124
1,1.4,0,151107,5921
1,1.2,2,141158,3017
4,2.0,2,256559,654
4,1.6,2,254497,637
4,1.4,2,124315,1962
3,1.4,2,99624,9462
3,1.8,2,24243,45564
1,1.4,2,67853,9274
2,3.5,2,66112,14679
1,1.6,0,204392,2061
1,2.0,0,52278,21740
0,4.4,2,226046,2956
4,1.2,2,179669,1121
0,4.0,2,179523,6340
1,1.2,2,10787,24183
4,2.0,2,151516,1765
1,1.8,2,7069,50035
0,4.4,2,66783,20664
4,1.6,2,53178,20796
4,2.0,2,149679,3055
0,5.0,2,48360,72017
4,1.6,0,335933,488
3,1.4,1,60162,19376
4,1.6,0,141227,7247
4,1.8,0,12727,43711
4,1.6,0,168156,1263
4,1.8,0,258079,1300
4,1.8,2,10429,21202
1,1.0,2,82739,7791
4,1.8,0,160405,2368
1,1.2,0,59473,9798
4,2.0,2,17810,23636
4,1.8,2,149439,2021
1,2.0,0,50192,14764
1,1.4,0,84523,14681
1,1.0,1,132325,4630
4,1.2,2,13399,24478
4,1.4,0,204312,2135
0,4.4,2,28558,106073
1,1.8,2,104129,8713
1,2.0,0,120861,8500
1,1.0,0,37668,13886
4,2.0,2,158259,2822
0,4.4,2,80694,54652
1,1.8,2,40412,21320
3,1.4,1,83852,6078
2,2.0,2,30577,36313
0,4.4,2,131870,8623
4,1.2,2,68648,15967
0,2.4,2,64363,4636
1,1.4,2,109081,3557
1,1.4,0,120794,10517
0,4.0,2,73374,44852
3,1.4,1,221685,781
1,1.0,2,144731,2503
4,2.0,0,87586,11378
4,1.8,0,143309,5066
2,2.6,2,75584,55021
0,3.0,2,26947,49022
3,1.2,1,13000,7167
4,1.2,0,142092,2824
1,1.4,0,125810,5935
3,1.8,1,267533,1054
4,1.2,2,113136,5586
4,1.8,0,81107,12073
1,2.0,1,116033,6695
3,1.8,2,218176,2121
3,1.4,1,31268,20238
1,1.0,2,14063,33627
3,2.2,1,12245,18184
