Engine size,Year of manufacture,Mileage,Manufacturer_Ford,Manufacturer_Porsche,Manufacturer_Toyota,Manufacturer_VW,Model_911,Model_Cayenne,Model_Fiesta,Model_Focus,Model_Golf,Model_M5,Model_Mondeo,Model_Passat,Model_Polo,Model_Prius,Model_RAV4,Model_X3,Model_Yaris,Model_Z4,Fuel type_Hybrid,Fuel type_Petrol,Price
1.0,2002,127300,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,3074
4.0,2016,57850,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,49704
1.6,2014,39190,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,24072
1.8,1988,210814,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1705
1.0,2006,127869,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,4101
1.4,2018,33603,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,29204
1.8,2010,86686,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,14350
1.4,2015,30663,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,30297
1.2,2012,73470,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,9977
2.0,1992,262514,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1049
2.0,2014,83047,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,17173
2.0,1990,293666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,719
1.2,2007,92697,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7792
2.2,2007,79393,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,16026
1.4,1998,97286,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,4046
1.6,1989,222390,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,933
2.4,2003,117425,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,11667
1.2,1992,245990,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,720
2.0,2018,28381,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,52671
1.2,1998,155038,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2118
1.2,1987,121744,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1890
1.6,1996,77584,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5667
1.0,2003,115291,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,6512
1.0,1990,238571,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,961
2.6,2009,66273,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,41963
1.8,2017,31958,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,38961
3.5,2005,151556,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,19747
1.2,2002,179097,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,2548
2.0,2020,18985,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,36387
1.8,2002,66990,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,13553
1.0,2010,85131,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,12472
1.0,2001,144731,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2503
2.0,2008,97001,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8784
1.6,2016,52409,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,17257
1.4,2010,112714,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,6936
2.0,1992,198540,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1964
1.8,1989,213162,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1340
2.2,2005,133174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,8511
1.6,2008,129588,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,5848
2.0,1990,148586,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2637
2.0,1995,91173,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,5181
4.0,2017,22759,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,97758
